video_id,platform,category,title,cover_description,publish_date,posting_hour,hashtags,views,impressions,ctr,likes,comments,shares,views_1h,views_3h,views_6h,views_12h,views_24h,likes_1h,likes_3h,likes_6h,likes_12h,likes_24h,ctr_1h,ctr_3h,ctr_6h,ctr_12h,ctr_24h
YF-01,youtube,food,5 Mistakes Every Sourdough Beginner Makes,"High Contrast/Instructional: Extreme close-up of a perfect sourdough crumb. Large, bright red number '5' overlaid on a dark wooden background. Text in sharp white, emphasizing 'MISTAKES'.",2024-11-22,19,"#sourdough,#bakingfail,#beginnerbread",155000,1476190,0.105,9800,650,2100,23250,54250,93000,131750,155000,1470,3430,5880,8330,9800,0.115,0.11,0.108,0.106,0.105
YF-02,youtube,food,Simple Thai Green Curry for a Weeknight Dinner,Low Contrast/Soft: Soft-focus shot of a green curry bowl on a beige tablecloth. Text is small and centered in light grey. Lacks visual impact.,2024-11-20,14,"#thaifood,#greencurry,#easyrecipe",65000,1181818,0.055,3100,220,750,9750,22750,39000,55250,65000,465,1085,1860,2635,3100,0.06,0.058,0.056,0.055,0.055
YF-03,youtube,food,I Tried The WORLDS Best Ice Cream Recipe (No Machine!),"Extreme Contrast/Shock: Close-up of intensely pink, saturated ice cream. A person with an exaggerated shocked expression. Title text is aggressive yellow and black.",2024-11-24,20,"#icecreamhack,#nomachine,#viralrecipe",210000,1555555,0.135,14500,890,3500,31500,73500,126000,178500,210000,2175,5075,8700,12325,14500,0.145,0.14,0.138,0.136,0.135
YF-04,youtube,food,How to Make Fluffy Scrambled Eggs Like a Michelin Chef,"Medium Contrast/Teaching: Clean, bright shot of fluffy scrambled eggs on a white plate. Text is plain black, readable but lacks urgency.",2024-11-18,8,"#scrambledeggs,#michelinrecipe,#breakfast",45000,750000,0.06,2800,150,500,6750,15750,27000,38250,45000,420,980,1680,2380,2800,0.065,0.062,0.061,0.06,0.06
YF-05,youtube,food,SUSHI MASTERCLASS: From Rolling to Slicing Perfection,"Medium-High Contrast/Professional: Split screen. Left: Perfect sushi roll. Right: Chef's hand holding a sharp knife. Text uses deep blue, aggressive sans-serif font.",2024-11-23,21,"#sushitutorial,#masterchef,#japanesefood",188000,1880000,0.1,11200,780,2500,28200,65800,112800,159800,188000,1680,3920,6720,9520,11200,0.11,0.105,0.102,0.1,0.1
YF-06,youtube,food,One Pot Chicken Dinner That Will Change Your Week,High Contrast/Simple: Overhead shot of a bubbling chicken pot. Bold orange text emphasizing 'ONE POT' and 'CHANGE YOUR WEEK'. Strong visual steam element.,2024-11-21,18,"#onepot,#chickenrecipe,#easyweeknight",165000,1500000,0.11,10500,600,2300,24750,57750,99000,140250,165000,1575,3675,6300,8925,10500,0.12,0.115,0.112,0.11,0.11
YF-07,youtube,food,Ultimate Guide to Making the Best Vegan Burger,"Low Contrast/Educational: Wide shot of a vegan burger. Text is small, centered in green. Good clarity but visually unexciting.",2024-11-19,15,"#veganburger,#plantbased,#cookingguide",78000,1300000,0.06,3800,280,850,11700,27300,46800,66300,78000,570,1330,2280,3230,3800,0.065,0.062,0.061,0.06,0.06
YF-08,youtube,food,I Ate ONLY Italian Food for 7 Days (The Results SHOCKED Me),"Extreme Contrast/Challenge: Split screen. Left: Before (tired face). Right: After (happy, holding pasta). Red warning text with the word 'SHOCKED'.",2024-11-26,20,"#italianfood,#foodchallenge,#dietexperiment",255000,1961538,0.13,17000,1100,3800,38250,89250,153000,216750,255000,2550,5950,10200,14450,17000,0.14,0.135,0.132,0.13,0.13
YF-09,youtube,food,The Science of Flavor Pairing in Desserts,"Medium Contrast/Technical: Diagram of flavor molecules overlaid on a dark blue background. Text is clean white, small and educational.",2024-11-25,10,"#foodscience,#desserts,#flavour",50000,833333,0.06,2900,180,550,7500,17500,30000,42500,50000,435,1015,1740,2465,2900,0.065,0.062,0.061,0.06,0.06
YF-10,youtube,food,Viral TikTok Chili Oil Recipe: Better Than Restaurant,"High Contrast/Viral: Close-up of bright red chili oil splashing. Huge, bold white text emphasizing 'VIRAL' and 'BETTER THAN'.",2024-11-27,19,"#chilioil,#tiktokrecipe,#spicyfood",190000,1727272,0.11,12000,750,2900,28500,66500,114000,161500,190000,1800,4200,7200,10200,12000,0.12,0.115,0.112,0.11,0.11
